stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:24447,,Chaperon Vert - Lénine,,2.334104189934823,48.81680918289508,1.0,,0,IDFM:70546,Europe/Paris,,1,
IDFM:23378,,Damesme,,2.3563821358445773,48.82033084048619,1.0,,0,IDFM:70615,Europe/Paris,,1,
IDFM:23377,,Poterne des Peupliers,,2.351134377464451,48.82066223109377,1.0,,0,IDFM:70626,Europe/Paris,,1,
IDFM:23379,,Damesme,,2.35609813755912,48.82016742310135,1.0,,0,IDFM:70615,Europe/Paris,,1,
IDFM:24444,,Italie - Tolbiac,,2.3572310619382013,48.82659507342655,1.0,,0,IDFM:71001,Europe/Paris,,1,
IDFM:422525,,Hôtel de Ville,,2.350187652420573,48.85619104128336,1.0,,0,IDFM:415852,Europe/Paris,,1,
IDFM:23343,,Vaillant-Couturier - Lénine,,2.3983318623790373,48.81790510939143,2.0,,0,IDFM:421404,Europe/Paris,,1,
IDFM:24445,,Monge - Claude Bernard,,2.3509348055401693,48.83888244309503,1.0,,0,IDFM:71082,Europe/Paris,,1,
IDFM:23319,,Champ de Mars,,2.2962969618517066,48.85522972283974,1.0,,0,IDFM:412659,Europe/Paris,,1,
IDFM:23315,,Volontaires - Lecourbe,,2.307117863078044,48.84399689462008,1.0,,0,IDFM:71129,Europe/Paris,,1,
IDFM:23328,,Place Charles Vallin,,2.302698405086556,48.83517538042453,1.0,,0,IDFM:71060,Europe/Paris,,1,
IDFM:23329,,Avenue Marcel Martinie,,2.292613030042328,48.82340624455537,2.0,,0,IDFM:70651,Europe/Paris,,2,
IDFM:23326,,Morillons - Dantzig,,2.2993877945689074,48.83315042947336,1.0,,0,IDFM:71040,Europe/Paris,,1,
IDFM:23327,,Brancion - Vouillé,,2.3059231592082305,48.835481935909016,1.0,,0,IDFM:71053,Europe/Paris,,2,
IDFM:23324,,Lycée Henri IV,,2.348650125651669,48.846172850923374,1.0,,0,IDFM:482797,Europe/Paris,,1,
IDFM:23325,,Alleray,,2.305880196574621,48.83768514752136,1.0,,0,IDFM:71071,Europe/Paris,,1,
IDFM:23323,,Lycée Henri IV,,2.348717354871835,48.84624516571861,1.0,,0,IDFM:482797,Europe/Paris,,1,
IDFM:23320,,Champ de Mars,,2.2968035021402646,48.85506182273496,1.0,,0,IDFM:412659,Europe/Paris,,1,
IDFM:23330,,Carrefour Albert Legris,,2.2923347976284503,48.8258419256589,2.0,,0,IDFM:70672,Europe/Paris,,1,
IDFM:23331,,Morillons - Brancion,,2.3027018080730053,48.83186570178525,1.0,,0,IDFM:71032,Europe/Paris,,2,
IDFM:23332,,Brancion,,2.3013796361435035,48.82887205352618,1.0,,0,IDFM:71007,Europe/Paris,,1,
IDFM:24442,,Monge - Claude Bernard,,2.350675617994189,48.83890801740639,1.0,,0,IDFM:71082,Europe/Paris,,1,
IDFM:463321,,Vaugirard,,2.300977822126098,48.83953628376544,1.0,,0,IDFM:71091,Europe/Paris,,2,
