route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583434,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583435,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583436,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583437,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583451,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583452,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583453,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583454,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141241,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583455,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583456,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac09Echa02-2,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583457,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583458,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583459,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583460,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583472,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583473,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583474,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141240,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583475,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala05Pref01-13,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac15Bala05-5,Balard,,0,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583476,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583477,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583478,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583479,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583480,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala04CLac14-13,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141239,Porte de Choisy,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583481,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac08CLac01-10,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583482,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583492,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583493,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac05Bala01-8,Créteil-Pointe du Lac,,1,,,2,0
