route_id,mode_transport,route_short_name,route_type
IDFM:C02826,Bus,TUVIM EP,3
IDFM:C02825,Bus,SUBB S,3
IDFM:C02304,Bus,ChavilBus,3
IDFM:C02301,Bus,GPSO Bus,3
IDFM:C02300,Bus,469,3
IDFM:C01827,Bus,2,3
IDFM:C01826,Bus,1,3
IDFM:C02479,Bus,5441,3
IDFM:C01229,Bus,215,3
IDFM:C02480,Bus,5411,3
IDFM:C01365,Bus,TUVIM CV,3
IDFM:C01353,Bus,SUBB N,3
IDFM:C01352,Bus,TIM,3
IDFM:C02665,Bus,Soir,3
IDFM:C02667,Bus,Soir,3
IDFM:C02806,Bus,5404,3
IDFM:C01191,Bus,170,3
IDFM:C00292,Bus,1,3
IDFM:C00393,Bus,1101,3
IDFM:C00294,Bus,2,3
IDFM:C01412,Bus,N35,3
IDFM:C00295,Bus,4,3
IDFM:C01404,Bus,N32,3
IDFM:C01399,Bus,N33,3
IDFM:C01075,Bus,24,3
IDFM:C00297,Bus,8,3
IDFM:C01398,Bus,N34,3
IDFM:C01231,Bus,217,3
IDFM:C01276,Bus,306,3
IDFM:C00298,Bus,9,3
IDFM:C00303,Bus,18,3
IDFM:C00308,Bus,6,3
IDFM:C01234,Bus,234,3
IDFM:C00312,Bus,7,3
IDFM:C01233,Bus,221,3
IDFM:C01096,Bus,60,3
IDFM:C01228,Bus,214,3
IDFM:C01224,Bus,210,3
IDFM:C01220,Bus,203,3
IDFM:C00316,Bus,J,3
IDFM:C00317,Bus,H,3
IDFM:C01238,Bus,239,3
IDFM:C00330,Bus,A,3
IDFM:C00332,Bus,E,3
IDFM:C00335,Bus,C,3
IDFM:C00337,Bus,G,3
IDFM:C01153,Bus,124,3
IDFM:C01250,Bus,262,3
IDFM:C01149,Bus,120,3
IDFM:C01239,Bus,241,3
IDFM:C01478,Bus,12,3
IDFM:C01681,Bus,3,3
IDFM:C01755,Bus,D,3
IDFM:C00875,Bus,3604,3
IDFM:C02144,Bus,T,3
IDFM:C01240,Bus,244,3
IDFM:C02149,Bus,B,3
IDFM:C02150,Bus,F,3
IDFM:C02629,Bus,N,3
IDFM:C02730,Bus,26,3
IDFM:C02731,Bus,25,3
IDFM:C01076,Bus,26,3
IDFM:C01145,Bus,116,3
IDFM:C01241,Bus,249,3
IDFM:C01077,Bus,27,3
IDFM:C00340,Bus,402,3
IDFM:C00342,Bus,412,3
IDFM:C00345,Bus,408,3
IDFM:C00346,Bus,409,3
IDFM:C01142,Bus,113,3
IDFM:C00358,Bus,4114,3
IDFM:C00395,Bus,1103,3
IDFM:C01242,Bus,250,3
IDFM:C00376,Bus,4116,3
IDFM:C00576,Bus,4115,3
IDFM:C01243,Bus,251,3
IDFM:C00577,Bus,4119,3
IDFM:C01095,Bus,58,3
IDFM:C00579,Bus,4158,3
IDFM:C00580,Bus,4134,3
IDFM:C00582,Bus,4111,3
IDFM:C00586,Bus,4131,3
IDFM:C00590,Bus,4133,3
IDFM:C00399,Bus,1113,3
IDFM:C00591,Bus,4132,3
IDFM:C00598,Bus,4130,3
IDFM:C00599,Bus,4135,3
IDFM:C00602,Bus,4120,3
IDFM:C01562,Bus,9101,3
IDFM:C01886,Bus,4112,3
IDFM:C02775,Bus,Soir,3
IDFM:C01078,Bus,28,3
IDFM:C01136,Bus,107,3
