route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C02588,IDFM:1051,TàD,TàD Sud Meulan - Les Mureaux,,3,,FFBE00,000000,
IDFM:C02589,IDFM:1051,Soir,Soir Poissy,,3,,640082,FFFFFF,
IDFM:C02590,IDFM:Operator_100,7B,Bus Remplacement Métro 7B,,3,,6ECA97,000000,
IDFM:C02591,IDFM:1072,Soir,Soir Mitry-le-Neuf,,3,,640082,FFFFFF,
IDFM:C02594,IDFM:1074,N137,N137,,3,,3C91DC,FFFFFF,
IDFM:C02595,IDFM:1074,Soir,Soir Fontainebleau Avon,,3,,652C8F,FFFFFF,
IDFM:C02596,IDFM:1074,Soir,Soir Moret - Veneux les Sablons,,3,,652C8F,FFFFFF,
IDFM:C02598,IDFM:885,R,R,,3,,E06666,FFFFFF,
IDFM:C02599,IDFM:1058,4318,4318,,3,,0055C8,FFFFFF,
IDFM:C02600,IDFM:1071,N146,N146,,3,,00814F,FFFFFF,
IDFM:C02601,IDFM:1071,R121,R121,,3,,81C491,000000,
IDFM:C02602,IDFM:1071,Soir,Soir Garges,,3,,662583,FFFFFF,
IDFM:C02603,IDFM:1071,Soir,Soir Goussainville,,3,,662583,FFFFFF,
IDFM:C02604,IDFM:1071,R9,R9,,3,,662483,FFFFFF,
IDFM:C02605,IDFM:1071,Soir,Soir Gonesse,,3,,662583,FFFFFF,
IDFM:C02607,IDFM:1058,4347,4347,,3,,00A092,FFFFFF,
IDFM:C02608,IDFM:1058,4348,4348,,3,,82C8E6,000000,
IDFM:C02609,IDFM:1058,4349,4349,,3,,A50034,FFFFFF,
IDFM:C02610,IDFM:1075,3559,3559,,3,,3C91DC,FFFFFF,
IDFM:C02612,IDFM:1074,3452,3452,,3,,D282BE,000000,
IDFM:C02615,IDFM:1062,11,11,,3,,FF5A00,000000,
IDFM:C02616,IDFM:1062,12,12,,3,,82C8E6,000000,
IDFM:C02617,IDFM:1070,3102,3102,,3,,A0006E,FFFFFF,
IDFM:C02618,IDFM:1055,2327,2327,,3,,C4A4CC,000000,
IDFM:C02619,IDFM:1070,3108,3108,,3,,87D3DF,FFFFFF,
IDFM:C02620,IDFM:1070,3141,3141,,3,,87D3DF,FFFFFF,
IDFM:C02621,IDFM:1070,3142,3142,,3,,006DB8,FFFFFF,
IDFM:C02622,IDFM:885,W,W,,3,,AAAAAA,000000,
IDFM:C02624,IDFM:1083,N147,N147,,3,,6E491E,FFFFFF,
IDFM:C02625,IDFM:1082,1235,1235,,3,,ED1C2A,FFFFFF,
IDFM:C02627,IDFM:1051,Soir,Soir Les Mureaux,,3,,640082,FFFFFF,
IDFM:C02626,IDFM:1051,Soir,Soir Vernouillet-Verneuil,,3,,640082,FFFFFF,
IDFM:C02628,IDFM:1051,Soir,Soir Carrières-sous-Poissy,,3,,640082,FFFFFF,
IDFM:C02629,IDFM:1054,N,N,,3,,9F9822,FFFFFF,
IDFM:C02630,IDFM:1069,612,612,,3,,640082,FFFFFF,
IDFM:C02631,IDFM:1080,4250,4250,,3,,0055C8,FFFFFF,
IDFM:C02632,IDFM:1080,4251,4251,,3,,0055C8,FFFFFF,
IDFM:C02634,IDFM:1081,N162,N162,,3,,3C91DC,FFFFFF,
IDFM:C02635,IDFM:1081,N160,N160,,3,,6E491E,FFFFFF,
IDFM:C02636,IDFM:1080,Tzen4,Tzen4 (ex 4206),,3,,D2D200,000000,
IDFM:C02637,IDFM:1079,5234,5234,,3,,0055C8,FFFFFF,
IDFM:C02638,IDFM:1081,5304,5304,,3,,C5A3CD,000000,
IDFM:C02640,IDFM:1081,Soir,Soir Saint-Rémy,,3,,652C8F,FFFFFF,
IDFM:C02641,IDFM:1081,Soir,Soir Rambouillet,,3,,640082,FFFFFF,
IDFM:C02642,IDFM:1081,7817,7817,,3,,4D90CD,FFFFFF,
IDFM:C02644,IDFM:1068,Soir,Soir Plaisir-Grignon,,3,,652C8F,FFFFFF,
IDFM:C02659,IDFM:1076,N123,N123,,3,,A50034,FFFFFF,
IDFM:C02661,IDFM:1076,Soir,Soir Brétigny,,3,,640082,FFFFFF,
IDFM:C02662,IDFM:1076,4513,4513,,3,,A50034,FFFFFF,
IDFM:C02663,IDFM:1076,4536,4536,,3,,FFBE00,000000,
IDFM:C02664,IDFM:1071,Filéo com,Filéo Compans,,3,,AAAAAA,000000,
IDFM:C02665,IDFM:1052,Soir,Soir Mantes-la-Ville,,3,,652C8F,FFFFFF,
IDFM:C02666,IDFM:Operator_1032,C1,C1,,6,,3C91DC,000000,
IDFM:C02667,IDFM:1052,Soir,Soir Aubergenville,,3,,652C8F,FFFFFF,
IDFM:C02668,IDFM:1065,N72,N72,,3,,3C91DC,FFFFFF,
IDFM:C02673,IDFM:64,2254,2254,,3,,D2D200,000000,
IDFM:C02672,IDFM:64,2284,2284,,3,,D282BE,000000,
IDFM:C02669,IDFM:64,2281,2281,,3,,FFBE00,000000,
IDFM:C02671,IDFM:64,2283,2283,,3,,82C8E6,000000,
IDFM:C02670,IDFM:64,2282,2282,,3,,6E491E,FFFFFF,
IDFM:C02676,IDFM:1055,2376,2376,,3,,00A092,000000,
IDFM:C02675,IDFM:1083,Soir,Soir Persan-Beaumont,,3,,640082,FFFFFF,
IDFM:C02674,IDFM:1083,Soir,Soir Parc Haut Val d'Oise,,3,,640082,FFFFFF,
IDFM:C02680,IDFM:1055,2343,2343,,3,,177FC2,FFFFFF,
IDFM:C02684,IDFM:1054,61,61,,3,,FF82B4,FFFFFF,
IDFM:C02685,IDFM:1054,62,62,,3,,0055C8,FFFFFF,
IDFM:C02686,IDFM:1054,63,63,,3,,6E491E,FFFFFF,
IDFM:C02687,IDFM:1074,3417,3417,,3,,FFBE00,000000,
IDFM:C02681,IDFM:78,3752,3752,,3,,FFBE00,000000,
IDFM:C02683,IDFM:1054,60,60,,3,,00643C,FFFFFF,
IDFM:C02682,IDFM:1076,4584,4584,,3,,FF82B4,000000,
IDFM:C02688,IDFM:64,Soir,Soir Lagny - Thorigny,,3,,652C8F,FFFFFF,
IDFM:C02689,IDFM:64,Soir,Soir Bussy-st-Georges,,3,,652C8F,FFFFFF,
IDFM:C02690,IDFM:64,Soir,Soir Val d'Europe,,3,,652C8F,FFFFFF,
IDFM:C02691,IDFM:64,Soir,Soir Marne-la-Vallée Chessy,,3,,652C8F,FFFFFF,
IDFM:C02698,IDFM:1072,2156,2156,,3,,6E6E00,FFFFFF,
IDFM:C02693,IDFM:1072,2151,2151,,3,,FF5A00,000000,
IDFM:C02702,IDFM:1072,2161,2161,,3,,0055C8,FFFFFF,
IDFM:C02692,IDFM:1072,2150,2150,,3,,FF1400,FFFFFF,
IDFM:C02703,IDFM:1072,2162,2162,,3,,640082,FFFFFF,
IDFM:C02700,IDFM:1072,2159,2159,,3,,00A092,FFFFFF,
IDFM:C02699,IDFM:1072,2158,2158,,3,,82DC73,000000,
IDFM:C02696,IDFM:1072,2154,2154,,3,,6E491E,FFFFFF,
IDFM:C02697,IDFM:1072,2155,2155,,3,,D2D200,000000,
IDFM:C02695,IDFM:1072,2153,2153,,3,,DC9600,000000,
IDFM:C02694,IDFM:1072,2152,2152,,3,,FFBE00,000000,
IDFM:C02701,IDFM:1072,2160,2160,,3,,82C8E6,000000,
IDFM:C02706,IDFM:1072,2165,2165,,3,,FF82B4,000000,
IDFM:C02704,IDFM:1072,2164,2164,,3,,D282BE,000000,
IDFM:C02707,IDFM:1072,2166,2166,,3,,A50034,FFFFFF,
IDFM:C02708,IDFM:1072,2157,2157,,3,,00643C,FFFFFF,
IDFM:C02705,IDFM:1082,1257,1257,,3,,C5A3CD,000000,
IDFM:C02709,IDFM:1086,N148,N148,,3,,00B397,FFFFFF,
IDFM:C02713,IDFM:Operator_100,245,245,,3,,B6134C,FFFFFF,
IDFM:C02714,IDFM:Operator_100,202,202,,3,,65318F,FFFFFF,
IDFM:C02715,IDFM:1052,5477,5477,,3,,8D653D,FFFFFF,
IDFM:C02716,IDFM:1052,7825,7825,,3,,5091CB,FFFFFF,
IDFM:C02720,IDFM:1074,3447,3447,,3,,82C8E6,000000,
IDFM:C02721,IDFM:1074,3418,3418,,3,,00643C,FFFFFF,
IDFM:C02723,IDFM:1085,A04 VIL,A04 Paris La Villette,,3,,003DA5,FFFFFF,
IDFM:C02724,IDFM:1080,4242,4242,,3,,FF1400,FFFFFF,
IDFM:C02725,IDFM:1080,9112,9112,,3,,3C91DC,FFFFFF,
IDFM:C02726,IDFM:78,3771,3771,,3,,A50034,FFFFFF,
IDFM:C02727,IDFM:78,3777,3777,,3,,0055C8,FFFFFF,
IDFM:C02728,IDFM:78,3772,3772,,3,,82C8E6,000000,
IDFM:C02730,IDFM:1054,26,26,,3,,00A092,FFFFFF,
IDFM:C02731,IDFM:1054,25,25,,3,,FFCE00,000000,
IDFM:C02732,IDFM:Operator_1042,T14,T14,,0,,00A092,FFFFFF,
IDFM:C02735,IDFM:1055,TàD,TàD ZI Poincy,,3,,FFBE00,000000,
IDFM:C02736,IDFM:1080,4215,4215,,3,,FF82B4,000000,
IDFM:C02737,IDFM:1080,4270,4270,,3,,82C8E6,000000,
IDFM:C02738,IDFM:1080,4278,4278,,3,,FFBE00,000000,
IDFM:C02739,IDFM:1080,4279,4279,,3,,82DC73,000000,
IDFM:C02740,IDFM:1080,4222,4222,,3,,D2D200,000000,
IDFM:C02741,IDFM:1081,5297,5297,,3,,BB4B9B,FFFFFF,
IDFM:C02742,IDFM:1081,5296,5296,,3,,C5A3CD,000000,
IDFM:C02744,IDFM:Operator_100,277,277,,3,,640082,FFFFFF,
IDFM:C02745,IDFM:1090,363,363,,3,,A50034,FFFFFF,
IDFM:C02750,IDFM:1075,Soir,Soir Nemours,,3,,652C8F,FFFFFF,
IDFM:C02768,IDFM:1057,Soir,Soir Montgeron,,3,,640082,FFFFFF,
IDFM:C02769,IDFM:1057,Soir,Soir Vigneux-sur-Seine,,3,,640082,FFFFFF,
IDFM:C02770,IDFM:1057,Soir,Soir Brunoy Sud,,3,,640082,FFFFFF,
IDFM:C02771,IDFM:1057,Soir,Soir Crosne,,3,,640082,FFFFFF,
IDFM:C02772,IDFM:1057,Soir,Soir Quincy-sous-Sénart,,3,,640082,FFFFFF,
IDFM:C02773,IDFM:1057,Soir,Soir Yerres Nord,,3,,640082,FFFFFF,
IDFM:C02774,IDFM:1057,Soir,Soir Yerres Sud,,3,,640082,FFFFFF,
IDFM:C02775,IDFM:1057,Soir,Soir Villecresnes,,3,,640082,FFFFFF,
IDFM:C02782,IDFM:1057,4157,4157,,3,,A50034,FFFFFF,
IDFM:C02795,IDFM:1086,1433,1433,,3,,B80C4B,FFFFFF,
IDFM:C02797,IDFM:1058,TàD 4308,TàD 4308,,3,,FFBE00,000000,
IDFM:C02798,IDFM:1051,6535,6535,,3,,FF1400,FFFFFF,
IDFM:C02799,IDFM:1051,6550,6550,,3,,640082,FFFFFF,
IDFM:C02800,IDFM:1051,6577,6577,,3,,A0006E,FFFFFF,
IDFM:C02801,IDFM:1051,6578,6578,,3,,FF5A00,000000,
IDFM:C02802,IDFM:1051,6579,6579,,3,,FF1400,FFFFFF,
IDFM:C02803,IDFM:1051,6580,6580,,3,,00A092,FFFFFF,
IDFM:C02804,IDFM:1051,6581,6581,,3,,FF5A00,000000,
IDFM:C02805,IDFM:1051,6582,6582,,3,,00A092,FFFFFF,
IDFM:C02806,IDFM:1052,5404,5404,,3,,8AD3DE,000000,
IDFM:C02807,IDFM:1052,5463,5463,,3,,B6134C,FFFFFF,
IDFM:C02809,IDFM:1060,4627,4627,,3,,00A092,FFFFFF,
IDFM:C02810,IDFM:1060,4665,4665,,3,,FF1400,FFFFFF,
IDFM:C02811,IDFM:1060,4666,4666,,3,,D282BE,000000,
IDFM:C02812,IDFM:1060,4671,4671,,3,,FF1400,FFFFFF,
IDFM:C02813,IDFM:1060,4673,4673,,3,,0055C8,FFFFFF,
IDFM:C02814,IDFM:1060,4674,4674,,3,,FF5A00,000000,
IDFM:C02815,IDFM:1060,4672,4672,,3,,00A092,000000,
IDFM:C02816,IDFM:1060,4670,4670,,3,,FFBE00,000000,
IDFM:C02817,IDFM:1060,4654,4654,,3,,D2D200,000000,
IDFM:C02818,IDFM:1060,4652,4652,,3,,00643C,FFFFFF,
IDFM:C02820,IDFM:1058,TàD 4318,TàD 4318,,3,,FFBE00,000000,
IDFM:C02821,IDFM:1058,TàD 4306,TàD 4306,,3,,FFBE00,000000,
IDFM:C02822,IDFM:1058,TàD 4342,TàD 4342,,3,,FFBE00,000000,
IDFM:C02823,IDFM:1058,TàD 4343,TàD 4343,,3,,FFBE00,000000,
IDFM:C02824,IDFM:1058,TàD 4344,TàD 4344,,3,,FFBE00,000000,
IDFM:C02825,IDFM:1088,SUBB S,SUBB Boucle Sud,,3,,E0B03A,000000,
IDFM:C02826,IDFM:1088,TUVIM EP,TUVIM Epinettes,,3,,F68F4A,000000,
IDFM:C02827,IDFM:1088,TUVIM ISG,TUVIM Ile Saint-Germain,,3,,F59EB2,000000,
IDFM:C02829,IDFM:1048,1104,1104,,3,,00A092,FFFFFF,
IDFM:C02830,IDFM:1048,9514,9514,,3,,3C91DC,FFFFFF,
IDFM:C02831,IDFM:1048,9513,9513,,3,,3C91DC,FFFFFF,
IDFM:C02832,IDFM:1089,9509,9509,,3,,3C91DC,FFFFFF,
